text,label,episode,season,ids,is_train
so rachel what're you uh what're you up to tonight,2,0101,01,82,True
well i was kinda supposed to be headed for aruba on my honeymoon so nothing,1,0101,01,83,True
right you're not even getting your honeymoon god no no although aruba this time of year talk about your big lizards anyway if you don't feel like being alone tonight joey and chandler are coming over to help me put together my new furniture,2,0101,01,84,False
yes and we're very excited about it,4,0101,01,85,True
well actually thanks but i think i'm just gonna hang out here tonight it's been kinda a long day,1,0101,01,86,True
hey pheebs you wanna help,5,0101,01,87,False
oh i wish i could but i don't want to commercial break,6,0101,01,88,True
love is sweet as summer showers love is a wondrous work of art but your love oh your love your love is like a giant pigeon crapping on my heart la la la la la thank you la la la la ohhh,6,0101,01,89,True
i'm supposed to attach a brackety thing to the side things using a bunch of these little worm guys i have no brackety thing i see no whim guys whatsoever and i cannot feel my legs,2,0101,01,90,True
i'm thinking we've got a bookcase here,5,0101,01,91,True
i would have to say that is an 'l' shaped bracket,4,0101,01,92,True
i have no idea,4,0101,01,93,True
all finished,4,0101,01,94,True
this was carol's favorite beer she always drank it out of the can i should have known,2,0101,01,95,False
hey hey hey hey if you're gonna start with that stuff we're outta here,5,0101,01,96,False
yes please don't spoil all this fun,4,0101,01,97,False
ross let me ask you a question she got the furniture the stereo the good tv what did you get,5,0101,01,98,True
you guys,2,0101,01,99,True
you got screwed,5,0101,01,100,True
i know i know i'm such an idiot i guess i should have caught on when she started going to the dentist four and five times a week i mean how clean can teeth get,0,0101,01,101,True
my brother's going through that right now he's such a mess how did you get through it,3,0101,01,102,False
well you might try accidentally breaking something valuable of hers say her,0,0101,01,103,True
leg,3,0101,01,104,True
that's one way me i i went for the watch,0,0101,01,105,False
you actually broke her watch wow the worst thing i ever did was i i shredded by boyfriend's favorite bath towel,3,0101,01,106,True
ooh steer clear of you,0,0101,01,107,True
i'm divorced i'm only 26 and i'm divorced,2,0101,01,108,False
shut up,5,0101,01,109,True
you must stop,4,0101,01,110,True
that only took me an hour,2,0101,01,111,True
you know what the scariest part is what if there's only one woman for everybody y'know i mean what if you get one woman and that's it unfortunately in my case there was only one woman for her,2,0101,01,112,True
i honestly don't know if i'm hungry or horny,2,0101,01,113,True
stay out of my freezer,4,0101,01,114,True
ever since she walked out on me i uh,0,0101,01,115,True
what what you wanna spell it out with noodles,3,0101,01,116,True
no it's it's more of a fifth date kinda revelation,0,0101,01,117,True
oh so there is gonna be a fifth date,3,0101,01,118,False
isn't there,0,0101,01,119,True
yeah yeah i think there is what were you gonna say,3,0101,01,120,True
well ever ev ever since she left me um i haven't been able to uh perform sexually,0,0101,01,121,True
oh god oh god i am sorry i am so sorry,3,0101,01,122,True
i know being spit on is probably not what you need right now um how long,3,0101,01,123,True
two years,0,0101,01,124,False
wow i'm i'm i'm glad you smashed her watch,3,0101,01,125,True
so you still think you um might want that fifth date,0,0101,01,126,True
we are gathered here today to join joanne louise cunningham and charles chachi chachi chachi arcola in the bound of holy matrimony,0,0101,01,127,True
oh see but joanne loved chachi that's the difference,1,0101,01,128,True
grab a spoon do you know how long it's been since i've grabbed a spoon do the words 'billy don't be a hero' mean anything to you,2,0101,01,129,False
great story but i uh i gotta go i got a date with andrea angela andrea oh man,5,0101,01,130,True
angela's the screamer andrea has cats,4,0101,01,131,True
right thanks it's june i'm outta here,5,0101,01,132,True
y'know here's the thing even if i could get it together enough to to ask a woman out who am i gonna ask commercial break,2,0101,01,133,True
isn't this amazing i mean i have never made coffee before in my entire life,1,0101,01,134,False
that is amazing,4,0101,01,135,True
congratulations,5,0101,01,136,True
y'know i figure if i can make coffee there isn't anything i can't do,1,0101,01,137,True
if can invade poland there isn't anything i can't do,4,0101,01,138,True
listen while you're on a roll if you feel like you gotta make like a western omelet or something although actually i'm really not that hungry,5,0101,01,139,False
oh good lenny and squigy are here,3,0101,01,140,True
morning,0,0101,01,141,True
morning paul,5,0101,01,142,True
thank you thank you so much,0,0101,01,143,False
stop,3,0101,01,144,True
no i'm telling you last night was like umm all my birthdays both graduations plus the barn raising scene in witness,0,0101,01,145,True
we'll talk later,3,0101,01,146,False
that wasn't a real date what the hell do you do on a real date,5,0101,01,147,True
shut up and put my table back,3,0101,01,148,True
all right kids i gotta get to work if i don't input those numbers it doesn't make much of a difference,4,0101,01,149,True
so like you guys all have jobs,1,0101,01,150,False
yeah we all have jobs see that's how we buy stuff,3,0101,01,151,False
wow would i have seen you in anything,1,0101,01,152,True
i doubt it mostly regional work,5,0101,01,153,True
oh wait wait unless you happened to catch the reruns' production of pinocchio at the little theater in the park,3,0101,01,154,True
look it was a job all right,5,0101,01,155,True
'look gippetto i'm a real live boy ',4,0101,01,156,True
i will not take this abuse,5,0101,01,157,True
you're right i'm sorry once i was a wooden boy a little wooden boy,4,0101,01,158,True
you should both know that he's a dead man oh chandler,5,0101,01,159,True
so how you doing today did you sleep okay talk to barry i can't stop smiling,3,0101,01,160,True
i can see that you look like you slept with a hanger in your mouth,1,0101,01,161,True
i know he's just so so do you remember you and tony demarco,3,0101,01,162,True
well it's like that with feelings,3,0101,01,163,False
oh wow are you in trouble,1,0101,01,164,True
big time,3,0101,01,165,True
want a wedding dress hardly used,1,0101,01,166,True
i think we are getting a little ahead of selves here okay okay i am just going to get up go to work and not think about him all day or else i'm just gonna get up and go to work,3,0101,01,167,True
oh look wish me luck,1,0101,01,168,False
what for,3,0101,01,169,True
i'm gonna go get one of those job things,1,0101,01,170,True
hey frannie welcome back how was florida,3,0101,01,171,True
you had sex didn't you,0,0101,01,172,True
how do you do that,3,0101,01,173,True
oh i hate you i'm pushing my aunt roz through parrot jungle and you're having sex so who,0,0101,01,174,True
paul the wine guy oh yeah i know paul,0,0101,01,175,True
you mean you know paul like i know paul,3,0101,01,176,True
are you kidding i take credit for paul y'know before me there was no snap in his turtle for two years,0,0101,01,177,True
of course it was a line,5,0101,01,178,True
why why why why would anybody do something like that,3,0101,01,179,True
i assume we're looking for an answer more sophisticated than 'to get you into bed',2,0101,01,180,True
i hate men i hate men,3,0101,01,181,True
oh no don't hate you don't want to put that out into the universe,6,0101,01,182,False
is it me is it like i have some sort of beacon that only dogs and men with severe emotional problems can hear,3,0101,01,183,True
all right c'mere gimme your feet,6,0101,01,184,True
i just thought he was nice y'know,3,0101,01,185,False
i can't believe you didn't know it was a line,5,0101,01,186,True
guess what,1,0101,01,187,True
you got a job,2,0101,01,188,True
are you kidding i'm trained for nothing i was laughed out of twelve interviews today,1,0101,01,189,True
and yet you're surprisingly upbeat,4,0101,01,190,True
you would be too if you found john and david boots on sale fifty percent off,1,0101,01,191,True
oh how well you know me,4,0101,01,192,True
they're my new 'i don't need a job i don't need my parents i've got great boots' boots,1,0101,01,193,False
how'd you pay for them,3,0101,01,194,True
uh credit card,1,0101,01,195,True
and who pays for that,3,0101,01,196,True
um my father,1,0101,01,197,True
oh god come on you guys is this really necessary i mean i can stop charging anytime i want,1,0101,01,198,True
c'mon you can't live off your parents your whole life,3,0101,01,199,False
i know that that's why i was getting married,1,0101,01,200,True
give her a break it's hard being on your own for the first time,6,0101,01,201,False
the word you're looking for is 'anyway',2,0101,01,202,True
no no no i'm not ready how can i be ready hey rach you ready to jump out the airplane without your parachute come on i can't do this,1,0101,01,203,False
you can i know you can,3,0101,01,204,True
come on you made coffee you can do anything,2,0101,01,205,True
c'mon cut cut cut cut,2,0101,01,206,True
cut cut cut cut cut cut cut,0,0101,01,207,True
y'know what i think we can just leave it at that it's kinda like a symbolic gesture,1,0101,01,208,True
rachel that was a library card,3,0101,01,209,True
cut cut cut cut cut cut cut,0,0101,01,210,False
y'know if you listen closely you can hear a thousand retailers scream,4,0101,01,211,True
welcome to the real world it sucks you're gonna love it,3,0101,01,212,False
well that's it you gonna crash on the couch,3,0101,01,213,True
no no i gotta go home sometime,2,0101,01,214,False
hey mon look what i just found on the floor what,1,0101,01,215,True
that's paul's watch you just put it back where you found it oh boy alright goodnight everybody,3,0101,01,216,True
no no no go,2,0101,01,217,False
no you have it really i don't want it,1,0101,01,218,False
split it,2,0101,01,219,True
okay you know you probably didn't know this but back in high school i had a um major crush on you,2,0101,01,220,True
i knew,1,0101,01,221,False
you did oh i always figured you just thought i was monica's geeky older brother,2,0101,01,222,False
i did,1,0101,01,223,True
oh listen do you think and try not to let my intense vulnerability become any kind of a factor here but do you think it would be okay if i asked you out sometime maybe,2,0101,01,224,True
okay okay maybe i will,2,0101,01,225,True
see ya waitwait what's with you,3,0101,01,226,True
i just grabbed a spoon closing credits,2,0101,01,227,False
i can't believe what i'm hearing here,5,0101,01,228,True
i can't believe what i'm hearing here,6,0101,01,229,True
what i i said you had a,3,0101,01,230,False
what i said you had,6,0101,01,231,True
would you stop,3,0101,01,232,True
oh was i doing it again,6,0101,01,233,False
i said that you had a nice butt it's just not a great butt,3,0101,01,234,True
oh you wouldn't know a great butt if it came up and bit ya,5,0101,01,235,True
there's an image,2,0101,01,236,True
would anybody like more coffee,1,0101,01,237,True
did you make it or are you just serving it,4,0101,01,238,False
i'm just serving it,1,0101,01,239,True
yeah yeah i'll have a cup of coffee,0,0101,01,240,True
kids new dream i'm in las vegas,4,0101,01,241,True
ahh miss more coffee,0,0101,01,242,True
ugh excuse me could you give this to that guy over there go ahead thank you sorry okay las vegas,1,0101,01,243,True
okay so i'm in las vegas i'm liza minelli,4,0101,01,244,True
what you guys don't understand is for us kissing is as important as any part of it,3,0102,01,245,True
everything you need to know is in that first kiss,1,0102,01,246,True
absolutely,3,0102,01,247,True
yeah i think for us kissing is pretty much like an opening act y'know i mean it's like the stand up comedian you have to sit through before pink floyd comes out,4,0102,01,248,True
yeah and and it's not that we don't like the comedian it's that that that's not why we bought the ticket,2,0102,01,249,True
the problem is though after the concert's over no matter how great the show was you girls are always looking for the comedian again y'know i mean we're in the car we're fighting traffic basically just trying to stay awake,4,0102,01,250,False
yeah well word of advice,1,0102,01,251,True
are we still talking about sex opening credits,5,0102,01,252,False
no it's good it is good it's just that mm doesn't she seem a little angry,2,0102,01,253,True
does she,2,0102,01,254,True
he's out banging other women over the head with a club while she sits at home trying to get the mastodon smell out of the carpet,0,0102,01,255,False
marsha these are cave people okay they have issues like 'gee that glacier's getting kinda close ' see,2,0102,01,256,True
speaking of issues isn't that your ex wife,0,0102,01,257,True
no no,2,0102,01,258,True
yes it is carol hi,0,0102,01,259,True
okay okay yes it is how about i'll uh catch up with you in the ice age,2,0102,01,260,False
so,0,0102,01,261,True
you look great i uh i hate that,2,0102,01,262,True
sorry you look good too,0,0102,01,263,True
ah well in here anyone who stands erect so what's new still uh,2,0102,01,264,True
a lesbian,0,0102,01,265,True
well you never know how's um how's the family,2,0102,01,266,True
marty's still totally paranoid oh and uh,0,0102,01,267,True
why why are you here carol,2,0102,01,268,True
i'm pregnant,0,0102,01,269,True
pregnant,2,0102,01,270,False
oh i think this is the episode of three's company where there's some kind of misunderstanding,4,0102,01,271,True
then i've already seen this one,6,0102,01,272,True
are you through with that,3,0102,01,273,True
yeah sorry the swallowing slowed me down,5,0102,01,274,False
whose little ball of paper is this,3,0102,01,275,True
oh uh that would be mine see i wrote a note to myself and then i realised i didn't need it so i balled it up and now i wish i was dead,4,0102,01,276,True
she's already fluffed that pillow monica you know you've already fluffed that but it's fine,6,0102,01,277,False
look i'm sorry guys i just don't wanna give them any more ammunition than they already have,3,0102,01,278,True
yes and we all know how cruel a parent can be about the flatness of a child's pillow,4,0102,01,279,False
monica hi um monica you're scaring me i mean you're like you're like all chaotic and twirly and not not in a good way,6,0102,01,280,True
yeah calm down you don't see ross getting all chaotic and twirly every time they come,5,0102,01,281,True
that's because as far as my parents are concerned ross can do no wrong y'see he's the prince apparently they had some big ceremony before i was born,3,0102,01,282,True
ew ew ew ew ew ew ew ew,4,0102,01,283,True
what,3,0102,01,284,True
ugly naked guy got a thighmaster,4,0102,01,285,True
eeaagh,0,0102,01,286,False
has anybody seen my engagement ring,1,0102,01,287,True
oh god oh god oh god oh god oh god oh god,1,0102,01,288,True
no look don't touch that,6,0102,01,289,True
easy rach we'll find it won't we,3,0102,01,290,True
alright when'd'ya have it on last,5,0102,01,291,True
doy probably right before she lost it,6,0102,01,292,True
you don't get a lot of 'doy' these days,4,0102,01,293,True
i know i had it this morning and i know i had it when i was in the kitchen with,1,0102,01,294,True
dinah,4,0102,01,295,True
you didn't,3,0102,01,296,True
i gave you one job,3,0102,01,297,False
oh but look how straight those noodles are,1,0102,01,298,True
now monica you know that's not how you look for an engagement ring in a lasagne,4,0102,01,299,True
i just can't do it,3,0102,01,300,True
boys we're going in,4,0102,01,301,True
wow that is not a happy hi,3,0102,01,302,True
carol's pregnant,2,0102,01,303,True
w w wh wha w w w,3,0102,01,304,False
yeah do that for another two hours you might be where i am right about now,2,0102,01,305,False
kinda puts that whole pillow thing in perspective huh mon,4,0102,01,306,True
well now how how do you fit into this whole thing,1,0102,01,307,True
well carol says she and susan want me to be involved but if i'm not comfortable with it i don't have to be involved basically it's entirely up to me,2,0102,01,308,True
she is so great i miss her,6,0102,01,309,False
what does she mean by 'involved',3,0102,01,310,True
i mean presumably the biggest part of your job is done,4,0102,01,311,True
anyway they want me to go down to this sonogram thing with them tomorrow,2,0102,01,312,True
so what are you gonna do,1,0102,01,313,True
i have no idea no matter what i do though i'm still gonna be a father,2,0102,01,314,True
well this is still ruined right,5,0102,01,315,True
oh martha ludwin's daughter is gonna call you mmm what's that curry taste,0,0102,01,316,True
curry,3,0102,01,317,True
mmmm,0,0102,01,318,False
i i think they're great i i really do,2,0102,01,319,True
do you remember the ludwins the big one had a thing for you didn't she,0,0102,01,320,True
they all had a thing for him,0,0102,01,321,False
aw mom,2,0102,01,322,False
i'm sorry why is this girl going to call me,3,0102,01,323,False
oh she just graduated and she wants to be something in cooking or food or i don't know anyway i told her you had a restaurant,0,0102,01,324,True
no mom i don't have a restaurant i work in a restaurant,3,0102,01,325,True
well they don't have to know that,0,0102,01,326,True
ross could you come and help me with the spaghetti please,3,0102,01,327,True
oh we're having spaghetti that's easy,0,0102,01,328,True
i know this is going to sound unbelievably selfish but were you planning on bringing up the whole baby/lesbian thing because i think it might take some of the heat off me,3,0102,01,329,True
what that rachel did to her life we ran into her parents at the club they were not playing very well,0,0102,01,330,True
i'm not gonna tell you what they spent on that wedding but forty thousand dollars is a lot of money,0,0102,01,331,True
well at least she had the chance to leave a man at the altar,0,0102,01,332,False
what's that supposed to mean,3,0102,01,333,True
no it's not,3,0102,01,334,True
don't listen to your mother you're independent and you always have been even when you were a kid and you were chubby and you had no friends you were just fine and you would read alone in your room and your puzzles,0,0102,01,335,False
look there are people like ross who need to shoot for the stars with his museum and his papers getting published other people are satisfied with staying where they are i'm telling you these are the people who never get cancer,0,0102,01,336,False
and i read about these women trying to have it all and i thank god 'our little harmonica' doesn't seem to have that problem,0,0102,01,337,True
so ross what's going on with you any stories no news no little anecdotes to share with the folks,3,0102,01,338,False
and you knew about this commercial break,0,0102,01,339,False
your folks are really that bad huh,5,0102,01,340,False
well y'know these people are pros they know what they're doing they take their time they get the job done,2,0102,01,341,False
boy i know they say you can't change your parents boy if you could i'd want yours,3,0102,01,342,False
must pee,2,0102,01,343,False
y'know it's even worse when you're twins,6,0102,01,344,True
you're twins,1,0102,01,345,True
yeah we don't speak she's like this high powered driven career type,6,0102,01,346,True
what does she do,4,0102,01,347,False
she's a waitress,6,0102,01,348,True
all right you guys i kinda gotta clean up now,1,0102,01,349,True
chandler you're an only child right you don't have any of this,3,0102,01,350,False
well no although i did have an imaginary friend who my parents actually preferred,4,0102,01,351,True
the lights please,1,0102,01,352,False
how long was i in there,2,0102,01,353,True
i'm just cleaning up,1,0102,01,354,True
d'ya uh d'ya need any help,2,0102,01,355,True
anyway um so you uh you nervous about barry tomorrow,2,0102,01,356,False
mm hmm,2,0102,01,357,False
a lot,1,0102,01,358,False
mm,2,0102,01,359,True
so got any advice y'know as someone who's recently been dumped,1,0102,01,360,True
oh you've got carol tomorrow when did it get so complicated,1,0102,01,361,True
got me,2,0102,01,362,True
remember when we were in high school together,1,0102,01,363,True
i mean didn't you think you were just gonna meet somone fall in love and that'd be it ross,1,0102,01,364,False
oh man i never thought i'd be here,1,0102,01,365,True
me either,2,0102,01,366,True
sorry i'm late i was stuck at work there was this big dinosaur thing anyway,2,0102,01,367,True
ross you remember susan,0,0102,01,368,False
how could i forget,2,0102,01,369,True
ross,0,0102,01,370,True
hello susan good shake good shake so uh we're just waiting for,2,0102,01,371,True
dr oberman,0,0102,01,372,True
dr oberman okay and is he,2,0102,01,373,True
she,0,0102,01,374,True
she of course she uh familiar with our special situation,2,0102,01,375,False
yes and she's very supportive,0,0102,01,376,False
okay that's great no i'm oh,2,0102,01,377,True
quack quack,2,0102,01,378,True
ross that opens my cervix,0,0102,01,379,True
barry,1,0102,01,380,True
c'mon in,0,0102,01,381,True
yeah it's fine it's fine robbie's gonna be here for hours,0,0102,01,382,True
so how ya doin,0,0102,01,383,True
i'm uh i'm okay you look great,1,0102,01,384,True
dr farber jason greenstein's gagging,0,0102,01,385,True
be right there be back in a sec,0,0102,01,386,True
so um so how's this uh how's this gonna work y'know with us y'know when like important decisions have to be made,2,0102,01,387,False
give me a 'for instance',0,0102,01,388,True
well uh uh i don't know okay okay how about with the uh with the baby's name,2,0102,01,389,True
marlon,0,0102,01,390,True
marlon,2,0102,01,391,True
if it's a boy minnie if it's a girl,0,0102,01,392,True
as in mouse,2,0102,01,393,False
as in my grandmother,0,0102,01,394,True
still you you say minnie you hear mouse um how about um how about julia,2,0102,01,395,True
julia,0,0102,01,396,True
we agreed on minnie,0,0102,01,397,True
's'funny um uh we agreed we'd spend the rest of our lives together things change roll with the punches i believe julia's on the table,2,0102,01,398,True
sorry about that so what have you been up to,0,0102,01,399,False
oh not much i i got a job,1,0102,01,400,False
why are why are you so tanned,1,0102,01,401,True
oh i uh i went to aruba,0,0102,01,402,False
oh no you went on our honeymoon alone,1,0102,01,403,True
no i went with uh now this may hurt,0,0102,01,404,True
me,0,0102,01,405,True
no i went with mindy,0,0102,01,406,False
mindy my maid of honour mindy,1,0102,01,407,True
yeah well uh we're kind of a thing now,0,0102,01,408,True
oh well um you've got plugs,1,0102,01,409,True
careful they haven't quite taken yet,0,0102,01,410,True
and you've got lenses but you hate sticking your finger in your eye,1,0102,01,411,True
not for her listen i really wanted to thank you,0,0102,01,412,False
see about a month ago i wanted to hurt you more than i've ever wanted to hurt anyone in my life and i'm an orthodontist,0,0102,01,413,True
you know you were right i mean i thought we were happy we weren't happy but with mindy now i'm happy spit,0,0102,01,414,False
what,1,0102,01,415,True
me,0,0102,01,416,True
anyway um i guess this belongs to you and thank you for giving it to me,1,0102,01,417,False
well thank you for giving it back,0,0102,01,418,True
oh please what's wrong with helen,0,0102,01,419,True
helen geller i don't think so,2,0102,01,420,True
hello it's not gonna be helen geller,0,0102,01,421,False
no i mean it's not geller,0,0102,01,422,True
what it's gonna be helen willick,2,0102,01,423,True
no actually um we talked about helen willick bunch,0,0102,01,424,True
well wait a minute wha why is she in the title,2,0102,01,425,True
it's my baby too,0,0102,01,426,True
oh 's'funny really um i don't remember you making any sperm,2,0102,01,427,True
yeah and we all know what a challenge that is,0,0102,01,428,True
all right you two stop it,0,0102,01,429,False
no no no she gets a credit hey i'm in there too,2,0102,01,430,True
ross you're not actually suggesting helen willick bunch geller because i think that borders on child abuse,0,0102,01,431,False
of course not i'm suggesting geller willick bunch,2,0102,01,432,True
oh no nonononono you see what he's doing he knows no one's gonna say all those names so they'll wind up calling her geller then he gets his way,0,0102,01,433,True
my way you you think this is my way believe me of all the ways i ever imagined this moment in my life being this is not my way y'know what uh um this is too hard i'm not i can't do,2,0102,01,434,True
knock knock how are we today any nausea,0,0102,01,435,True
well i was just wondering about the mother to be but thanks for sharing uh lie back,0,0102,01,436,True
you uh y'know what i'm gonna go i don't i don't think i can be involved in this particular thing right now,2,0102,01,437,True
what are we supposed to be seeing here,5,0102,01,438,True
i dunno but i think it's about to attack the enterprise,4,0102,01,439,True
you know if you tilt your head to the left and relax your eyes it kinda looks like an old potato,6,0102,01,440,True
then don't do that alright,2,0102,01,441,True
mm hmm,3,0102,01,442,True
wh are you welling up,2,0102,01,443,True
no,3,0102,01,444,False
you are you're welling up,2,0102,01,445,False
am not,3,0102,01,446,True
you're gonna be an aunt,2,0102,01,447,True
hey oh oh how'd it go,2,0103,01,448,True
um not so good he walked me to the subway and said 'we should do this again ',6,0103,01,449,True
what he said 'we should do it again' that's good right,1,0103,01,450,True
uh no loosely translated 'we should do this again' means 'you will never see me naked',3,0103,01,451,True
since when,1,0103,01,452,False
since always it's like dating language y'know like 'it's not you' means 'it is you',5,0103,01,453,True
or 'you're such a nice guy' means 'i'm gonna be dating leather wearing alcoholics and complaining about them to you',4,0103,01,454,True
or or y'know um 'i think we should see other people' means 'ha ha i already am',6,0103,01,455,False
yeah it's like when you're a kid and your parents put your dog to sleep and they tell you it went off to live on some farm,4,0103,01,456,True
that's funny that no because uh our parents actually did uh send our dog off to live on a farm,2,0103,01,457,True
uh ross,3,0103,01,458,True
what wh hello the millners' farm in connecticut the millners they had this unbelievable farm they had horses and and rabbits that he could chase and it was it w oh my god chi chi opening credits,2,0103,01,459,False
so how does it feel knowing you're about to die,4,0103,01,460,True
warden in five minutes my pain will be over but you'll have to live with the knowledge that you sent an honest man to die,5,0103,01,461,True
hey that was really good,4,0103,01,462,True
okay so whaddya want from me damone huh,4,0103,01,463,True
i just wanna go back to my cell because in my cell i can smoke,5,0103,01,464,True
i think this is probably why damone smokes in his cell alone,4,0103,01,465,True
what,5,0103,01,466,False
relax your hand,4,0103,01,467,True
not so much,4,0103,01,468,True
whoah,5,0103,01,469,False
alright now try taking a puff,4,0103,01,470,True
alright okay no give it to me,4,0103,01,471,True
no no no i am not giving you a cigarette,5,0103,01,472,True
it's fine it's fine look do you wanna get this part or not here,4,0103,01,473,True
don't think of it as a cigarette think of it as the thing that's been missing from your hand when you're holding it you feel right you feel complete,4,0103,01,474,True
y'miss it,5,0103,01,475,True
nah not so much alright now we smoke oh my god,4,0103,01,476,False
no no no they say it's the same as the distance from the tip of a guy's thumb to the tip of his index finger,3,0103,01,477,True
that's ridiculous,5,0103,01,478,True
can i use either thumb,2,0103,01,479,True
alright don't tell me don't tell me decaf cappucino for joey coffee black late and an iced tea i'm getting pretty good at this,1,0103,01,480,True
yeah no i'm just it's i haven't worked it's my bank,6,0103,01,481,True
what did they do to you,3,0103,01,482,False
it's nothing it's just okay i'm going through my mail and i open up their monthly you know statement,6,0103,01,483,True
easy,2,0103,01,484,True
and there's five hundred extra dollars in my account,6,0103,01,485,True
oh satan's minions at work again,4,0103,01,486,True
yes because now i have to go down there and deal with them,6,0103,01,487,False
what are you talking about keep it,5,0103,01,488,True
it's not mine i didn't earn it if i kept it it would be like stealing,6,0103,01,489,True
yeah but if you spent it it would be like shopping,1,0103,01,490,True
we're with you we got it,3,0103,01,491,True
okay i'd just i'd never be able to enjoy it it would be like this giant karmic debt,6,0103,01,492,True
