text,label,episode,season,ids
noted,0,0901,09,40480
i wanna go talk to rachel for a minute are you gonna be okay alone for a bit,2,0901,09,40481
are you kidding me i could stay and look at her forever,0,0901,09,40482
actually umm,2,0901,09,40483
uhh i think i just got engaged,1,0901,09,40484
oh my god he did it,6,0901,09,40485
well did you know he was gonna ask me,1,0901,09,40486
are you kidding i'm like the one who talked him into it i like to think of myself as the puppet master of the group,6,0901,09,40487
and you really think this is a good idea,1,0901,09,40488
i just talked him into it don't tell me i have to do you too the puppet master gets tired people,6,0901,09,40489
i just don't know it just doesn't feel right,1,0901,09,40490
why you two are so meant to be together everybody thinks so,6,0901,09,40491
especially ross,6,0901,09,40492
oh uh hey pheebs uh y'know what i'll i'll come back later,5,0901,09,40493
wow kind of uh kind of a full house here i'll guess just i'll come back,2,0901,09,40494
there he goes your fiance,6,0901,09,40495
i guess so,1,0901,09,40496
although he does play with himself in his sleep,6,0901,09,40497
i can't say that i'm surprised,1,0901,09,40498
dad what are you doing,2,0901,09,40499
i think there are people in there having sex,0,0901,09,40500
it can't be me i'm standing right here,5,0901,09,40501
wanna peek,0,0901,09,40502
no,2,0901,09,40503
come on,0,0901,09,40504
y'know what i don't like you without mom come on,2,0901,09,40505
we're not peeking,5,0901,09,40506
well i'm peeking oh my god,0,0901,09,40507
hello sir you know monica,4,0901,09,40508
hey uh is it okay to come in,5,0901,09,40509
of course oh joey this ring i it's beautiful i love it,1,0901,09,40510
yeah uh look rach there's something i gotta tell ya,5,0901,09,40511
hey are you ready to try nursing again,0,0901,09,40512
yeah hi emma hey why do you think she won't take my breast,1,0901,09,40513
it's all right honey it takes some babies a while to get it but don't worry it'll happen,0,0901,09,40514
yowsa,5,0901,09,40515
okay sweetie you can do it just open up and put it in your mouth,1,0901,09,40516
dear lord,5,0901,09,40517
i'm sorry honey what were you saying,1,0901,09,40518
oh uh uh yeah i think that,5,0901,09,40519
oh look she's pulling away again do you think my nipples are too big for her mouth she looks scared doesn't she look scared,1,0901,09,40520
y'know i don't really know her,5,0901,09,40521
why don't we try massaging the breast to stimulate the flow,0,0901,09,40522
are you kidding me,5,0901,09,40523
it's just so frustrating why doesn't she want my breast,1,0901,09,40524
i don't know maybe she's crazy,5,0901,09,40525
congratulations i didn't want to say anything in front of joey cause i didn't know if he knew yet,6,0901,09,40526
what that we had a baby come on let's give him a little credit although he did eat a piece of plastic fruit earlier,2,0901,09,40527
no no that you and rachel are engaged,6,0901,09,40528
what,2,0901,09,40529
oh it's a secret oh goodie yes we haven't done the secret thing in a long time,6,0901,09,40530
phoebe there is no secret okay i didn't propose,2,0901,09,40531
are you lying is this like that time you tried to convince us that you were a doctor,6,0901,09,40532
i am a doctor y'know what i'm just gonna go and talk to rachel myself,2,0901,09,40533
all right me too should we wake her up,6,0901,09,40534
no no come on let her sleep she's so exhausted,2,0901,09,40535
and so engaged,6,0901,09,40536
what oh my god she she thinks we're engaged why why why would she think we're engaged,2,0901,09,40537
perhaps because you gave her an engagement ring y'know ross doctors are supposed to be smart,6,0901,09,40538
i didn't give her that ring,2,0901,09,40539
no,2,0901,09,40540
so whose ring is it,6,0901,09,40541
it's mine,2,0901,09,40542
is it an engagement ring,6,0901,09,40543
but you didn't give it to her,6,0901,09,40544
no,2,0901,09,40545
but you were going to propose,6,0901,09,40546
no,2,0901,09,40547
huh i might be losing interest in this,6,0901,09,40548
look look my mom gave me that ring because she wanted me to propose to rachel but all i wanted to do is if she maybe kinda wanted ah start things up again,2,0901,09,40549
oh what beautiful lukewarm sentiment,6,0901,09,40550
no no she said you actually proposed to her,6,0901,09,40551
well i didn't i didn't propose unless uh did i i haven't slept in forty hours and it does sound like something i would do commercial break,2,0901,09,40552
look we can't stay in here forever,4,0901,09,40553
oh i still can't believe my dad saw us having sex he didn't make it to one of piano recitals but this he sees,3,0901,09,40554
this is okay we're all adults here; there's nothing to be ashamed of now let's put our underwear in our pockets and walk out the door,4,0901,09,40555
hi dad i can still call you that right,3,0901,09,40556
of course i'll always be your dad,0,0901,09,40557
i just want you to know that what you witnessed in there that wasn't for fun,4,0901,09,40558
it wasn't fun,3,0901,09,40559
why why why would you wh why look i just don't want you to think that we're animals who do it whenever we want,4,0901,09,40560
oh i don't think that before today i never thought of you two having sex at all it was a simpler time,0,0901,09,40561
the truth is dad we're we're trying,3,0901,09,40562
what,0,0901,09,40563
yeah we're trying to get pregnant,3,0901,09,40564
oh my god this is so exciting well get back in there i'll guard the door,0,0901,09,40565
well that's okay dad we we can wait until later,3,0901,09,40566
whoa whoa whoa i don't think so aren't you ovulating,0,0901,09,40567
daddy,3,0901,09,40568
well you gotta get at it princess when your mother and i were trying to conceive you whenever she was ovulating bam we did it that's how i got my bad hip,0,0901,09,40569
that's funny this conversation's how i got the bullet hole in my head,4,0901,09,40570
this one time i had my knee up on the sink and your mother she was,0,0901,09,40571
daddy i don't think we need to hear about the specific positions you and mom had sex,3,0901,09,40572
you're right you're right this is about your positions now what i saw in the closet is not the optimum position for conceiving a child although it might feel good,0,0901,09,40573
i don't feel good right now,3,0901,09,40574
but pleasure is important and it helps if the woman has an orgasm you up to the task sailor,0,0901,09,40575
seriously sir my brains all over the wall,4,0901,09,40576
hey i need to tell you something,1,0901,09,40577
well now's a good time i'm on my way to have my ears cut off,3,0901,09,40578
joey asked me marry him,1,0901,09,40579
what,3,0901,09,40580
joey proposed to me,1,0901,09,40581
is he crazy you just had ross's baby,3,0901,09,40582
well i i said yes,1,0901,09,40583
what are you crazy you just had ross's baby it's it's so inappropriate no it's worse than that it's wrong it's it is bigger than mine,3,0901,09,40584
i know days of our lives thank you very much,1,0901,09,40585
why not i don't want to do this alone and he's such a sweet guy and he loves me so much,1,0901,09,40586
well do you love him,3,0901,09,40587
honey the question is do you really want to marry joey,3,0901,09,40588
no no i don't could you be a dear and go tell him,1,0901,09,40589
you still haven't told rachel you weren't really proposing,4,0901,09,40590
no she had the ring on she seemed so excited and then she took her breast out,5,0901,09,40591
joey you have to tell her what's going on and what did it look like,4,0901,09,40592
i didn't look at it stupid baby's head was blocking most of it,5,0901,09,40593
go and tell rachel right now before ross finds out,4,0901,09,40594
look it's not that easy she said she wanted to marry me i don't want to hurt her,5,0901,09,40595
okay look just do it gently,4,0901,09,40596
you're right you're right i i'll go tell her now before ross finds out and i'll be gentle i can do that i am a gentle person oh by the way two people screwing in there if you want to check that out,5,0901,09,40597
listen i um i heard about the engagement,2,0901,09,40598
surprised,1,0901,09,40599
and confused rach sweetie i i um i didn't propose to you,2,0901,09,40600
i don't think you do,2,0901,09,40601
you didn't propose to me joey did,1,0901,09,40602
poor baby you're so tired rach i didn't propose to you joey didn't propose to you and chandler didn't propose to you,2,0901,09,40603
uh you didn't propose to me chandler didn't propose to me but joey did,1,0901,09,40604
joey proposed to you,2,0901,09,40605
i can come back,5,0901,09,40606
hey wait wait wait wait joey did you propose to her,2,0901,09,40607
no,5,0901,09,40608
actually technically i didn't,5,0901,09,40609
well then why did you give me a ring,1,0901,09,40610
wait whoa whoa you you gave her the ring,2,0901,09,40611
no no and i did not ask her to marry me,5,0901,09,40612
no i didn't,5,0901,09,40613
no i didn't,5,0901,09,40614
yes you did and don't you say no i didn't,1,0901,09,40615
ahhh,5,0901,09,40616
he was right there he got down on one knee and proposed,1,0901,09,40617
whoa you were down on one knee,2,0901,09,40618
yeah yeah that looks bad but i didn't i didn't propose,5,0901,09,40619
then what did happen,2,0901,09,40620
okay the ring fell on the floor and i went down to pick it up and you thought i was proposing,5,0901,09,40621
yeah but you said will you marry me,1,0901,09,40622
no i didn't,5,0901,09,40623
no i didn't,5,0901,09,40624
yes you did oh my god you didn't well then why didn't you tell me that before,1,0901,09,40625
well i tried but people kept coming in and then you took your breast out,5,0901,09,40626
whoa hey whoa whoa whoa you saw her breast,2,0901,09,40627
i'll tell you about it later be cool,5,0901,09,40628
well then joey what the hell were you doing with an engagement ring,1,0901,09,40629
it wasn't my ring it's ross's ring that's why i felt so bad rach because he was going to propose,5,0901,09,40630
what,2,0901,09,40631
you were gonna propose to me,1,0901,09,40632
uhh no,2,0901,09,40633
well this is awkward {see i told you so },5,0901,09,40634
but i i was going to see if y'know maybe you uh start dating again but that i mean that that was all rach,2,0901,09,40635
dude step up i proposed,5,0901,09,40636
no you didn't,2,0901,09,40637
oh that's right there's a lot going on here and i think i ate some bad fruit earlier,5,0901,09,40638
hey she just woke up she's hungry why don't we give this another try,0,0901,09,40639
i can't believe you told her i was going to propose,2,0901,09,40640
i can't believe you're not going to propose,5,0901,09,40641
hey i'm not going to rush into anything,2,0901,09,40642
oh yeah dude i totally understand usually after i have a baby with a woman i like to slow things down,5,0901,09,40643
what,2,0901,09,40644
she's doing it look she's breast feeding look,1,0901,09,40645
ah it's beautiful,5,0901,09,40646
i'll come back for her later,0,0901,09,40647
oh wow this feels weird,1,0901,09,40648
wonderful weird,1,0901,09,40649
y'know what you guys i'm uh i'm gonna go too and uh i'm sorry about everything,5,0901,09,40650
honey don't worry it was my mistake,1,0901,09,40651
no rach i should've told you sooner it's just that man that kid is going to town,5,0901,09,40652
she's perfect,1,0901,09,40653
we're so lucky,2,0901,09,40654
look i i know it's not a proposal and i don't know where you are but with everything that's been going on and with emma and i've been feeling,2,0901,09,40655
i know i know i've feeling,1,0901,09,40656
okay well that wow okay well umm then maybe at least we can we can talk about us again,2,0901,09,40657
well good okay i i kind of think y'know if we if you're wearing the ring,2,0901,09,40658
wh what's that,1,0901,09,40659
and you told phoebe you were engaged,2,0901,09,40660
when you thought joey proposed did did you say yes closing credits,2,0901,09,40661
kids i spoke to a doctor and picked up this pamphlets on how to get pregnant,0,0901,09,40662
sorry to bother you again but could you pass my pamphlets back thank you,0,0901,09,40663
you said you'd marry joey,2,0902,09,40664
okay you have to realize i was exhausted i was emotional i would have said yes to anybody like that time you and i got married i'm not helping,1,0902,09,40665
so you said yes to him and you just had our baby,2,0902,09,40666
that is right and traditionally the daddy is supposed to give the mummy a present but i am prepared to let that go,1,0902,09,40667
so when i came in here to see if you wanted to maybe start things up again you were engaged to my best friend,2,0902,09,40668
well really i thought chandler was your best friend,1,0902,09,40669
well chandler's my oldest friend but joey's my no ah,2,0902,09,40670
ooooo,1,0902,09,40671
hey you guys i'm gonna take off i just wanted to let you guys know say goodbye,5,0902,09,40672
rachel said she'd marry you,2,0902,09,40673
this isn't the right room sorry folks opening credits it's a boy ],5,0902,09,40674
ok i don't wanna be negative so i'll say that most of the signs you bought are good,3,0902,09,40675
no they ran out of it's a girl but i can fix this one see,6,0902,09,40676
so sexy honey,3,0902,09,40677
yea yea,4,0902,09,40678
honey why don't you go lie down,3,0902,09,40679
no no ross and rachel will be back soon and then i gotta go to the office am i producing them,4,0902,09,40680
why're you so tired,5,0902,09,40681
you know what you should've done you should have told yourself that little story,5,0902,09,40682
phoebe did the signs,3,0902,09,40683
oh you guys thanks for doing this,1,0902,09,40684
look at all the stuff people sent,6,0902,09,40685
oh ah oh my gosh there's something every mother needs a giant stuffed gorilla that takes up the entire apartment what are people think oh you guys i love it,1,0902,09,40686
he's downstairs getting the rest of the stuff out of the cab,1,0902,09,40687
is he still mad at us,5,0902,09,40688
well you more then me but he can't stay to mad at me i mean i just had his baby,1,0902,09,40689
that's not fair i can't do that,5,0902,09,40690
yeah i'm not so sure you should be here when he comes up,1,0902,09,40691
see this is what i was afraid of i didn't think i should be here either but somebody said he'd be over it by now,5,0902,09,40692
hey what do i know i wanted to get a bigger gorilla,4,0902,09,40693
the numbers we are seeing new york chicago and london are consistently solid but many of our officers have reported disappointing fields,0,0902,09,40694
boston is down atlanta is down houston is down i could go on and on but instead of boring you i'll go straight to my forty two point plan,0,0902,09,40695
walter,4,0902,09,40696
she's just so cute i just wanna bite her ear off and use it and a sucking candy,6,0902,09,40697
phoebe but i could take one of those little feet and put it in a pita pocket,3,0902,09,40698
okay i put most of the stuff away,2,0902,09,40699
in the closet,2,0902,09,40700
the burping clogs,1,0902,09,40701
linen closet,2,0902,09,40702
the diapers,1,0902,09,40703
in the hospital,2,0902,09,40704
wow you guys got a hospital fancy,6,0902,09,40705
no i left the diapers at the hospital there's some in the bag but i'll run out and get some more,2,0902,09,40706
alright thanks oh ross could you stop by the coffee house and get me a muffin,1,0902,09,40707
umm let me think what do i want what d o i w a n t,1,0902,09,40708
please take your time it's an important decision not like say i know deciding to marry someone this is about a muffin,2,0902,09,40709
blueberry,1,0902,09,40710
blueberry it is,2,0902,09,40711
wow he's really not letting this go is he,3,0902,09,40712
god how long do you think that's gonna last,1,0902,09,40713
i dunno well he got over the we were on a break thing really quickly,6,0902,09,40714
y'know i can't even worry about that right now cause i got the cutie little baby oh i can't believe how much i love her i can't get enough of her like right now i miss her i actually miss her,1,0902,09,40715
you know that's that's her,6,0902,09,40716
oh god look at her sleeping oh i love her so much oh i think i'm gonna wake her up,1,0902,09,40717
oh no rach no no you know you're never supposed to wake a sleeping baby,6,0902,09,40718
well i can do whatever i want i made her come on little girl hi,1,0902,09,40719
i can say i told you so but she's kinda doing that for me,6,0902,09,40720
oh i'm sorry mummy's so sorry go back to sleep go back to sleep shh shhh go back to sleep,1,0902,09,40721
breaks your heart doesn't it,3,0902,09,40722
it really does how long do you think we have to stay,6,0902,09,40723
ok if everyone's on board it's settled chandler chandler,0,0902,09,40724
yep,4,0902,09,40725
are you on board,0,0902,09,40726
then problem solved chandler will be running our office in tulsa you're gonna love oklahoma,0,0902,09,40727
well alright we already tried feeding her changing her burping her oh try this one go back in time and listen to phoebe,6,0902,09,40728
alright here's something it says to try holding the baby close to your body and then swing her rapidly from side to side,3,0902,09,40729
it worked,3,0902,09,40730
oh oh no just stopped to throw up a little bit oh come on what am i gonna do its been hours and it won't stop crying,1,0902,09,40731
umm she rach not it she,3,0902,09,40732
yeah i'm not so sure,1,0902,09,40733
oh my god i am losing my mind,3,0902,09,40734
yeah no kidding this just proves no good can come from having sex with ross,6,0902,09,40735
hey gunther can i get a couple of blueberry muffins to go,2,0902,09,40736
yep,2,0902,09,40737
so i guess rachel had you baby,0,0902,09,40738
yep can you believe it,2,0902,09,40739
nope i still can't believe she slept with you in the first place,0,0902,09,40740
huh ooh you mean like a huh,2,0902,09,40741
hey ross i know you're pissed at me but we have to talk about this,5,0902,09,40742
ah actually we don't,2,0902,09,40743
fine fine okay but i gotta say technically i didn't even do anything wrong,5,0902,09,40744
what you didn't do anything wrong,2,0902,09,40745
i said i didn't technically,5,0902,09,40746
okay let's put aside that you accidentally picked up my grandmothers ring and you accidentally proposed to rachel,2,0902,09,40747
look can i just stop you right there for a second when people do this i don't really know what that means you were saying,5,0902,09,40748
and i can even understand that you couldn't tell rachel but why couldn't you tell me huh you had all day to and you didn't,2,0902,09,40749
i know i should've i'm sorry,5,0902,09,40750
not using it right joe,2,0902,09,40751
i'm gonna go,2,0902,09,40752
no come on ross look ross we have to get past this,5,0902,09,40753
give me the bag,2,0902,09,40754
no look i don't know what else to do i said i'm sorry,5,0902,09,40755
joey,2,0902,09,40756
you should scream at me or or or curse me or hit me,5,0902,09,40757
i'm not gonna hit you,2,0902,09,40758
why not you'll feel better i'll feel better and you know you want to i can see it in your eyes,5,0902,09,40759
no i don't,2,0902,09,40760
a little bit,5,0902,09,40761
no,2,0902,09,40762
little bit,5,0902,09,40763
no,2,0902,09,40764
a little bit more,5,0902,09,40765
give me the bag,2,0902,09,40766
give me the bag,2,0902,09,40767
joey give me the bag,2,0902,09,40768
joe i'm not kidding,2,0902,09,40769
no,2,0902,09,40770
you ducked,2,0902,09,40771
i'm sorry it was a reflex,5,0902,09,40772
oh my god this really hurts,2,0902,09,40773
i couldn't help it when a fist comes at your face you duck look,5,0902,09,40774
what is the matter with you,2,0902,09,40775
you were supposed to duck why didn't you duck,5,0902,09,40776
why don't we talk about this on the way to the hospital,2,0902,09,40777
good good yeah maybe while we're there they can check your reflexes oops commercial break,5,0902,09,40778
try feeding her again,3,0902,09,40779
i already fed her,1,0902,09,40780
i know that's why i said again,3,0902,09,40781
alright you guys we can't turn on each other okay that's just what she wants,6,0902,09,40782
monica can i talk to you outside for a minute,4,0902,09,40783
oh no you guys just stay here i'm gonna go check her diaper pheebs you wanna come,1,0902,09,40784
oh i'm kinda part of this,6,0902,09,40785
actually pheebs its more of a husband and wife kinda thing,4,0902,09,40786
i knew i should have married chandler,6,0902,09,40787
umm you know how we always said that it would be fun to move to paris for a year you know you could study french cooking and i could write and we could take a picnic along the seine and go wine tasting in bordeaux,4,0902,09,40788
okay you know how that people say that tulsa is the paris of oklahoma,4,0902,09,40789
what who says that,3,0902,09,40790
people who've never ever been to paris,4,0902,09,40791
what's going on,3,0902,09,40792
we're moving to tulsa,4,0902,09,40793
excuse me,3,0902,09,40794
okay ms mckenna she kind of works above my boss she asked me to move to tulsa and be the president of our office there and i was sleeping and apparently said yes,4,0902,09,40795
the sooner state whatever that is,4,0902,09,40796
chandler i don't even wanna see the musical oklahoma,3,0902,09,40797
really oh what a beautiful morning surrey with a fringe on top,4,0902,09,40798
are you trying to tell me that we're moving to oklahoma or that you're gay all right not that this matters but did they at least offer you a huge raise,3,0902,09,40799
no no but they are going to lease us a ford focus i'll get out of it,4,0902,09,40800
what is wrong with emma,4,0902,09,40801
oh she misunderstood she thought she was moving to tulsa,3,0902,09,40802
umm ma'am do you have a minute i kind of have some bad news i don't think i can move to tulsa,4,0902,09,40803
what,0,0902,09,40804
it's a funny story actually i kind of fell asleep in the meeting this morning so when i said i'd move to tulsa i didn't really know what i was saying,4,0902,09,40805
you fell asleep,0,0902,09,40806
chandler i,0,0902,09,40807
hey so how is it,5,0902,09,40808
your thumb that's weird you sure you're punching right make a fist maybe later ross i feel terrible,5,0902,09,40809
you know what you can go i just have to fill out some forms,2,0902,09,40810
you you want me to help you with that,5,0902,09,40811
why does it look like i'm having trouble with my misshapen claw,2,0902,09,40812
name i know ross but what's it short for you know like like rossel or rosstepher,5,0902,09,40813
just ross,2,0902,09,40814
it's pretty okay date of birth,5,0902,09,40815
october 18th,2,0902,09,40816
occupation dinosaurs,5,0902,09,40817
actually i'm a palian dinosaurs is fine the drawing is not,2,0902,09,40818
alright who do you want as your emergency contact,5,0902,09,40819
ah rachel i guess,2,0902,09,40820
okay relationship boy this could take a while,5,0902,09,40821
just ah just put roommate,2,0902,09,40822
come on you guys are more then that i mean you're gonna get together right,5,0902,09,40823
i don't think that we are,2,0902,09,40824
but you two were supposed to be together,5,0902,09,40825
well i thought so too but then she said she'd marry you,2,0902,09,40826
come on ross that didn't mean anything she just had the baby she was all freaked out about doing it alone she would have said yes to anybody,5,0902,09,40827
yeah that's what she said,2,0902,09,40828
so,5,0902,09,40829
so i don't wanna be just anybody,2,0902,09,40830
you know what it's it's better this way anyway i mean i don't know what i was thinking going down that road again with us it's just much easier if we're just friends who have a kid,2,0902,09,40831
and you're okay with that,5,0902,09,40832
yes i mean it's what we always planned and if you have a plan you should stick to it that's why they call them plans hello i'm fine,2,0902,09,40833
hey for what it's worth with rachel i don't think you'll ever be just anybody,5,0902,09,40834
oh my god how long has she been crying,1,0902,09,40835
about a week and a half,3,0902,09,40836
well alright looks like you guys have got it under control so i'm just gonna go no really misery really does love company all right,6,0902,09,40837
rach try holding her a different way,3,0902,09,40838
you guys i'm doing the best i can anyone else is welcome to try,1,0902,09,40839
alright i'll try fine yes okay,6,0902,09,40840
here you go,1,0902,09,40841
shh nothing works with this child,6,0902,09,40842
oh god what am i gonna do you guys i can't even comfort my own baby i'm the worst mother ever,1,0902,09,40843
you're just new at this it'll get better think about your first day at work i mean that couldn't have been easy but you figured that out,3,0902,09,40844
yeah i don't think dressing provocatively is going to help me here oh my god just please take her,1,0902,09,40845
okay i'll take her here,3,0902,09,40846
i have to go to the bathroom,1,0902,09,40847
i have to go scream into a pillow,6,0902,09,40848
bouncy baby bouncy baby ooh baby baby ooh baby baby ooh baby baby,3,0902,09,40849
have i gone deaf,6,0902,09,40850
it worked ooh baby baby baby ooh baby baby baby,3,0902,09,40851
you must be a fireball in bed,6,0902,09,40852
i can't believe it she's asleep i got her to go to sleep i have actual magical powers,3,0902,09,40853
i can hear traffic and birds i can hear the voices in my head again i'm kidding,6,0902,09,40854
oh my god you got her to stop crying,1,0902,09,40855
yes i did i'm monica super aunt,3,0902,09,40856
you are the official baby crier stopper,1,0902,09,40857
you're never leaving the apartment,1,0902,09,40858
say what,3,0902,09,40859
that's your new job day and night she starts crying i need you here,1,0902,09,40860
oh no no no no,3,0902,09,40861
thankfully you don't need me at all so okay super aunt see you later rachel let's give it six to eight months,6,0902,09,40862
okay so listen i'm gonna go lay down,1,0902,09,40863
what,3,0902,09,40864
you know the book says that whenever she's sleeping i should be sleeping so,1,0902,09,40865
shhh we just got her to go to sleep,3,0902,09,40866
oh so there can't be any yelling,4,0902,09,40867
no,3,0902,09,40868
we're moving to tulsa,4,0902,09,40869
what,3,0902,09,40870
shhhh shhhhh shhhhh shhhhh i can't i can't hear you,4,0902,09,40871
heeeeey where have you been what happened to you,1,0902,09,40872
ah i had a little thing with joey if you think this is bad you should see him,2,0902,09,40873
oh no ross this is not good we have to talk about this joey thing please sit you have got to get over this joey thing okay i never really wanted to marry joey okay,1,0902,09,40874
you know what i really really want,1,0902,09,40875
what rach,2,0902,09,40876
i wanna sleep i wanna eat i wanna take a shower i mean before she wakes up and we gotta do this all over again,1,0902,09,40877
i mean i got news for you mister emma not easy,1,0902,09,40878
well that's what i'm here for want me to get that,2,0902,09,40879
no its really okay monica,1,0902,09,40880
got it got it got it got it got it got it closing credits,3,0902,09,40881
you know ah i've been thinking about this and i gotta tell ya it's not my fault it's a natural instinct,5,0902,09,40882
hey what you guys talking about,4,0902,09,40883
hey ok great what would you do if i did this,5,0902,09,40884
roger christiansen,0,0903,09,40885
hey so what's the big news you had us rush all the way over here for,2,0903,09,40886
okay our news my company has asked me to head up our office in tulsa so as of monday i'm being officially relocated,4,0903,09,40887
what,6,0903,09,40888
what,1,0903,09,40889
monday,2,0903,09,40890
how long do you have to go for,5,0903,09,40891
they said it could be up to a year,4,0903,09,40892
a year,5,0903,09,40893
do you have to go,1,0903,09,40894
i kind of have to don't i because of this stupid thing,3,0903,09,40895
there is nothing like the support of your loving wife huh,4,0903,09,40896
wait a minute you can't go to tulsa maybe you forgot but we've got tickets to the jets game next week,5,0903,09,40897
i'm sorry buddy but i don't think i'm gonna be able to make it,4,0903,09,40898
we were gonna go see the jets,5,0903,09,40899
you can't go i mean you're the glue that holds this group together,2,0903,09,40900
not you,2,0903,09,40901
i can't believe you guys are moving,5,0903,09,40902
i call their apartment,6,0903,09,40903
no ah ahh,0,0903,09,40904
here you are,5,0903,09,40905
thank you joey you know what i'm not even sure i can have caffeine,1,0903,09,40906
i went thru this with ben and carol one cup of coffee won't affect your milk,2,0903,09,40907
yeah just to be sure i'm gonna call dr wiener,1,0903,09,40908
every time,1,0903,09,40909
rach you don't have to call whenever you have a little question okay trust me i know this,2,0903,09,40910
all right i trust you,1,0903,09,40911
rachel i can see you dialing i don't understand why,2,0903,09,40912
i'm on the phone dr wiener,1,0903,09,40913
it's so weird seeing ross and rachel with a baby it's just so grown up,6,0903,09,40914
i know yeah i feel like we're all growing up person named wiener god that kills me,5,0903,09,40915
look at you all grown up,6,0903,09,40916
actually you know what i am that whole thing with rachel made me realize that maybe i'm ready for a more serious relationship you know like i'd like to meet a nice mature commitment minded lady and looks aren't as important as nah she's gotta be hot,5,0903,09,40917
you know i might know somebody hey how about you set me up with someone and we double date,6,0903,09,40918
i can do that yeah how is friday,5,0903,09,40919
let's see oh you know who's great sandy poophack,6,0903,09,40920
poophack,5,0903,09,40921
yeah all right well that rules out lana titweiller,6,0903,09,40922
you got out of the whole tulsa thing,3,0903,09,40923
okay i have news you don't have to move to tulsa you can stay here and keep your job,4,0903,09,40924
it's great how chandler well my boss and i worked out a deal where i only have to be in tulsa four days a week so the other three i can be here with you,3,0903,09,40925
so you're gonna be gone four days a week no,3,0903,09,40926
i'm sorry are you just used to saying that,4,0903,09,40927
no i can't be away from you for that long,3,0903,09,40928
yeah you're my husband i'm not gonna live in a different state than you for 208 days out of the year,3,0903,09,40929
that's fast math we could use you in tulsa,4,0903,09,40930
honey thanks for trying to figure out a way but if you're going to tulsa i wanna go with you,3,0903,09,40931
hey you said that without gagging,4,0903,09,40932
excuse me oh yeah well up yours too,1,0903,09,40933
who the hell was that,2,0903,09,40934
dr wiener,1,0903,09,40935
rach you can't call people at three in the morning,2,0903,09,40936
oh you know what you sound just like his wife,1,0903,09,40937
was there anything you did wrong with emma,2,0903,09,40938
yes of course there is okay i'm not insane,1,0903,09,40939
rach i told you you can't call him every time any little thing comes up,2,0903,09,40940
