text2,label,episode,season,places,ids,text1,label_prev
well of course ben i meant my first granddaughter wow,0,0901,09,0,40447,what about ben,2.0
have umm have you thought anymore about you and rachel,6,0901,09,0,40448,well of course ben i meant my first granddaughter wow,0.0
oh well yeah actually i was going to talk to her when you guys all came in the room,2,0901,09,0,40449,have umm have you thought anymore about you and rachel,6.0
yay it's so exciting wow you could've done that with us there,6,0901,09,0,40450,oh well yeah actually i was going to talk to her when you guys all came in the room,2.0
what when have i ever touched myself in front of you guys,2,0901,09,0,40452,oh sure okay you can touch yourself in front of us but you can't talk to rachel,6.0
oh please just before when you were asleep in the lounge that armenian family was watching you instead of the tv oh that reminds me that mr hasmeje still has my gameboy,6,0901,09,0,40453,what when have i ever touched myself in front of you guys,2.0
hey chandler can i talk to you for a second,5,0901,09,0,40454,oh please just before when you were asleep in the lounge that armenian family was watching you instead of the tv oh that reminds me that mr hasmeje still has my gameboy,6.0
that was you i thought it was jack,4,0901,09,0,40456,dude i just did something terrible,5.0
no no that was jack rachel thinks i asked her to marry me,5,0901,09,0,40457,that was you i thought it was jack,4.0
what why does she think that,4,0901,09,0,40458,no no that was jack rachel thinks i asked her to marry me,5.0
because it kinda looked like i did,5,0901,09,0,40459,what why does she think that,4.0
again what,4,0901,09,0,40460,because it kinda looked like i did,5.0
okay well i was down on one knee with the ring in my hand,5,0901,09,0,40461,again what,4.0
as we all are at some point during the day,4,0901,09,0,40462,okay well i was down on one knee with the ring in my hand,5.0
it wasn't my ring it fell out of ross's jacket and when i knelt down to pick it up rachel thought i was proposing,5,0901,09,0,40463,as we all are at some point during the day,4.0
ross had a ring and he was gonna propose,4,0901,09,0,40464,it wasn't my ring it fell out of ross's jacket and when i knelt down to pick it up rachel thought i was proposing,5.0
i guess,5,0901,09,0,40465,ross had a ring and he was gonna propose,4.0
and you did it first this is gonna kill him you know how much he loves to propose,4,0901,09,0,40466,i guess,5.0
i know i know it's awful,5,0901,09,0,40467,and you did it first this is gonna kill him you know how much he loves to propose,4.0
well what did she say,4,0901,09,0,40468,i know i know it's awful,5.0
oh god what the hell am i going to tell him,5,0901,09,0,40469,well what did she say,4.0
well maybe you don't have to tell him anything,4,0901,09,0,40470,oh god what the hell am i going to tell him,5.0
oh i like that yeah,5,0901,09,0,40471,well maybe you don't have to tell him anything,4.0
if you clear things up with rachel then ross never needs to find out but you have to do it now before he hears about it and kicks your ass,4,0901,09,0,40472,oh i like that yeah,5.0
now let's not get carried away,5,0901,09,0,40473,if you clear things up with rachel then ross never needs to find out but you have to do it now before he hears about it and kicks your ass,4.0
i want a baby,3,0901,09,0,40474,now let's not get carried away,5.0
honey we've been over this i need to be facing the other way,4,0901,09,0,40475,i want a baby,3.0
come on come on if we have sex again it'll double our chances of getting pregnant do you think that closet's still available,3,0901,09,0,40476,honey we've been over this i need to be facing the other way,4.0
i'm so tired yeah okay but no foreplay,4,0901,09,0,40477,come on come on if we have sex again it'll double our chances of getting pregnant do you think that closet's still available,3.0
deal,3,0901,09,0,40478,i'm so tired yeah okay but no foreplay,4.0
dad seriously y'know you really should see someone about that,2,0901,09,0,40479,deal,3.0
noted,0,0901,09,0,40480,dad seriously y'know you really should see someone about that,2.0
i wanna go talk to rachel for a minute are you gonna be okay alone for a bit,2,0901,09,0,40481,noted,0.0
are you kidding me i could stay and look at her forever,0,0901,09,0,40482,i wanna go talk to rachel for a minute are you gonna be okay alone for a bit,2.0
actually umm,2,0901,09,0,40483,are you kidding me i could stay and look at her forever,0.0
uhh i think i just got engaged,1,0901,09,2,40484,actually umm,2.0
oh my god he did it,6,0901,09,2,40485,uhh i think i just got engaged,1.0
well did you know he was gonna ask me,1,0901,09,2,40486,oh my god he did it,6.0
are you kidding i'm like the one who talked him into it i like to think of myself as the puppet master of the group,6,0901,09,2,40487,well did you know he was gonna ask me,1.0
and you really think this is a good idea,1,0901,09,2,40488,are you kidding i'm like the one who talked him into it i like to think of myself as the puppet master of the group,6.0
i just talked him into it don't tell me i have to do you too the puppet master gets tired people,6,0901,09,2,40489,and you really think this is a good idea,1.0
i just don't know it just doesn't feel right,1,0901,09,2,40490,i just talked him into it don't tell me i have to do you too the puppet master gets tired people,6.0
why you two are so meant to be together everybody thinks so,6,0901,09,2,40491,i just don't know it just doesn't feel right,1.0
oh uh hey pheebs uh y'know what i'll i'll come back later,5,0901,09,2,40493,especially ross,6.0
wow kind of uh kind of a full house here i'll guess just i'll come back,2,0901,09,2,40494,oh uh hey pheebs uh y'know what i'll i'll come back later,5.0
there he goes your fiance,6,0901,09,2,40495,wow kind of uh kind of a full house here i'll guess just i'll come back,2.0
i guess so,1,0901,09,2,40496,there he goes your fiance,6.0
although he does play with himself in his sleep,6,0901,09,2,40497,i guess so,1.0
i can't say that i'm surprised,1,0901,09,2,40498,although he does play with himself in his sleep,6.0
dad what are you doing,2,0901,09,0,40499,i can't say that i'm surprised,1.0
i think there are people in there having sex,0,0901,09,0,40500,dad what are you doing,2.0
it can't be me i'm standing right here,5,0901,09,0,40501,i think there are people in there having sex,0.0
wanna peek,0,0901,09,0,40502,it can't be me i'm standing right here,5.0
no,2,0901,09,0,40503,wanna peek,0.0
come on,0,0901,09,0,40504,no,2.0
y'know what i don't like you without mom come on,2,0901,09,0,40505,come on,0.0
we're not peeking,5,0901,09,0,40506,y'know what i don't like you without mom come on,2.0
well i'm peeking oh my god,0,0901,09,0,40507,we're not peeking,5.0
hello sir you know monica,4,0901,09,0,40508,well i'm peeking oh my god,0.0
hey uh is it okay to come in,5,0901,09,2,40509,hello sir you know monica,4.0
of course oh joey this ring i it's beautiful i love it,1,0901,09,2,40510,hey uh is it okay to come in,5.0
yeah uh look rach there's something i gotta tell ya,5,0901,09,2,40511,of course oh joey this ring i it's beautiful i love it,1.0
hey are you ready to try nursing again,0,0901,09,2,40512,yeah uh look rach there's something i gotta tell ya,5.0
yeah hi emma hey why do you think she won't take my breast,1,0901,09,2,40513,hey are you ready to try nursing again,0.0
it's all right honey it takes some babies a while to get it but don't worry it'll happen,0,0901,09,2,40514,yeah hi emma hey why do you think she won't take my breast,1.0
yowsa,5,0901,09,2,40515,it's all right honey it takes some babies a while to get it but don't worry it'll happen,0.0
okay sweetie you can do it just open up and put it in your mouth,1,0901,09,2,40516,yowsa,5.0
dear lord,5,0901,09,2,40517,okay sweetie you can do it just open up and put it in your mouth,1.0
i'm sorry honey what were you saying,1,0901,09,2,40518,dear lord,5.0
oh uh uh yeah i think that,5,0901,09,2,40519,i'm sorry honey what were you saying,1.0
oh look she's pulling away again do you think my nipples are too big for her mouth she looks scared doesn't she look scared,1,0901,09,2,40520,oh uh uh yeah i think that,5.0
y'know i don't really know her,5,0901,09,2,40521,oh look she's pulling away again do you think my nipples are too big for her mouth she looks scared doesn't she look scared,1.0
why don't we try massaging the breast to stimulate the flow,0,0901,09,2,40522,y'know i don't really know her,5.0
are you kidding me,5,0901,09,2,40523,why don't we try massaging the breast to stimulate the flow,0.0
it's just so frustrating why doesn't she want my breast,1,0901,09,2,40524,are you kidding me,5.0
i don't know maybe she's crazy,5,0901,09,2,40525,it's just so frustrating why doesn't she want my breast,1.0
congratulations i didn't want to say anything in front of joey cause i didn't know if he knew yet,6,0901,09,0,40526,i don't know maybe she's crazy,5.0
what that we had a baby come on let's give him a little credit although he did eat a piece of plastic fruit earlier,2,0901,09,0,40527,congratulations i didn't want to say anything in front of joey cause i didn't know if he knew yet,6.0
no no that you and rachel are engaged,6,0901,09,0,40528,what that we had a baby come on let's give him a little credit although he did eat a piece of plastic fruit earlier,2.0
what,2,0901,09,0,40529,no no that you and rachel are engaged,6.0
oh it's a secret oh goodie yes we haven't done the secret thing in a long time,6,0901,09,0,40530,what,2.0
phoebe there is no secret okay i didn't propose,2,0901,09,0,40531,oh it's a secret oh goodie yes we haven't done the secret thing in a long time,6.0
are you lying is this like that time you tried to convince us that you were a doctor,6,0901,09,0,40532,phoebe there is no secret okay i didn't propose,2.0
i am a doctor y'know what i'm just gonna go and talk to rachel myself,2,0901,09,0,40533,are you lying is this like that time you tried to convince us that you were a doctor,6.0
all right me too should we wake her up,6,0901,09,0,40534,i am a doctor y'know what i'm just gonna go and talk to rachel myself,2.0
no no come on let her sleep she's so exhausted,2,0901,09,0,40535,all right me too should we wake her up,6.0
and so engaged,6,0901,09,0,40536,no no come on let her sleep she's so exhausted,2.0
what oh my god she she thinks we're engaged why why why would she think we're engaged,2,0901,09,0,40537,and so engaged,6.0
perhaps because you gave her an engagement ring y'know ross doctors are supposed to be smart,6,0901,09,0,40538,what oh my god she she thinks we're engaged why why why would she think we're engaged,2.0
i didn't give her that ring,2,0901,09,0,40539,perhaps because you gave her an engagement ring y'know ross doctors are supposed to be smart,6.0
so whose ring is it,6,0901,09,0,40541,no,2.0
it's mine,2,0901,09,0,40542,so whose ring is it,6.0
is it an engagement ring,6,0901,09,0,40543,it's mine,2.0
no,2,0901,09,0,40545,but you didn't give it to her,6.0
but you were going to propose,6,0901,09,0,40546,no,2.0
no,2,0901,09,0,40547,but you were going to propose,6.0
huh i might be losing interest in this,6,0901,09,0,40548,no,2.0
look look my mom gave me that ring because she wanted me to propose to rachel but all i wanted to do is if she maybe kinda wanted ah start things up again,2,0901,09,0,40549,huh i might be losing interest in this,6.0
oh what beautiful lukewarm sentiment,6,0901,09,0,40550,look look my mom gave me that ring because she wanted me to propose to rachel but all i wanted to do is if she maybe kinda wanted ah start things up again,2.0
well i didn't i didn't propose unless uh did i i haven't slept in forty hours and it does sound like something i would do commercial break,2,0901,09,0,40552,no no she said you actually proposed to her,6.0
look we can't stay in here forever,4,0901,09,0,40553,well i didn't i didn't propose unless uh did i i haven't slept in forty hours and it does sound like something i would do commercial break,2.0
oh i still can't believe my dad saw us having sex he didn't make it to one of piano recitals but this he sees,3,0901,09,0,40554,look we can't stay in here forever,4.0
this is okay we're all adults here; there's nothing to be ashamed of now let's put our underwear in our pockets and walk out the door,4,0901,09,0,40555,oh i still can't believe my dad saw us having sex he didn't make it to one of piano recitals but this he sees,3.0
hi dad i can still call you that right,3,0901,09,0,40556,this is okay we're all adults here; there's nothing to be ashamed of now let's put our underwear in our pockets and walk out the door,4.0
of course i'll always be your dad,0,0901,09,0,40557,hi dad i can still call you that right,3.0
i just want you to know that what you witnessed in there that wasn't for fun,4,0901,09,0,40558,of course i'll always be your dad,0.0
it wasn't fun,3,0901,09,0,40559,i just want you to know that what you witnessed in there that wasn't for fun,4.0
why why why would you wh why look i just don't want you to think that we're animals who do it whenever we want,4,0901,09,0,40560,it wasn't fun,3.0
oh i don't think that before today i never thought of you two having sex at all it was a simpler time,0,0901,09,0,40561,why why why would you wh why look i just don't want you to think that we're animals who do it whenever we want,4.0
the truth is dad we're we're trying,3,0901,09,0,40562,oh i don't think that before today i never thought of you two having sex at all it was a simpler time,0.0
what,0,0901,09,0,40563,the truth is dad we're we're trying,3.0
yeah we're trying to get pregnant,3,0901,09,0,40564,what,0.0
oh my god this is so exciting well get back in there i'll guard the door,0,0901,09,0,40565,yeah we're trying to get pregnant,3.0
well that's okay dad we we can wait until later,3,0901,09,0,40566,oh my god this is so exciting well get back in there i'll guard the door,0.0
whoa whoa whoa i don't think so aren't you ovulating,0,0901,09,0,40567,well that's okay dad we we can wait until later,3.0
daddy,3,0901,09,0,40568,whoa whoa whoa i don't think so aren't you ovulating,0.0
well you gotta get at it princess when your mother and i were trying to conceive you whenever she was ovulating bam we did it that's how i got my bad hip,0,0901,09,0,40569,daddy,3.0
that's funny this conversation's how i got the bullet hole in my head,4,0901,09,0,40570,well you gotta get at it princess when your mother and i were trying to conceive you whenever she was ovulating bam we did it that's how i got my bad hip,0.0
this one time i had my knee up on the sink and your mother she was,0,0901,09,0,40571,that's funny this conversation's how i got the bullet hole in my head,4.0
daddy i don't think we need to hear about the specific positions you and mom had sex,3,0901,09,0,40572,this one time i had my knee up on the sink and your mother she was,0.0
you're right you're right this is about your positions now what i saw in the closet is not the optimum position for conceiving a child although it might feel good,0,0901,09,0,40573,daddy i don't think we need to hear about the specific positions you and mom had sex,3.0
i don't feel good right now,3,0901,09,0,40574,you're right you're right this is about your positions now what i saw in the closet is not the optimum position for conceiving a child although it might feel good,0.0
but pleasure is important and it helps if the woman has an orgasm you up to the task sailor,0,0901,09,0,40575,i don't feel good right now,3.0
seriously sir my brains all over the wall,4,0901,09,0,40576,but pleasure is important and it helps if the woman has an orgasm you up to the task sailor,0.0
hey i need to tell you something,1,0901,09,2,40577,seriously sir my brains all over the wall,4.0
well now's a good time i'm on my way to have my ears cut off,3,0901,09,2,40578,hey i need to tell you something,1.0
joey asked me marry him,1,0901,09,2,40579,well now's a good time i'm on my way to have my ears cut off,3.0
what,3,0901,09,2,40580,joey asked me marry him,1.0
joey proposed to me,1,0901,09,2,40581,what,3.0
is he crazy you just had ross's baby,3,0901,09,2,40582,joey proposed to me,1.0
well i i said yes,1,0901,09,2,40583,is he crazy you just had ross's baby,3.0
what are you crazy you just had ross's baby it's it's so inappropriate no it's worse than that it's wrong it's it is bigger than mine,3,0901,09,2,40584,well i i said yes,1.0
i know days of our lives thank you very much,1,0901,09,2,40585,what are you crazy you just had ross's baby it's it's so inappropriate no it's worse than that it's wrong it's it is bigger than mine,3.0
well do you love him,3,0901,09,2,40587,why not i don't want to do this alone and he's such a sweet guy and he loves me so much,1.0
no no i don't could you be a dear and go tell him,1,0901,09,2,40589,honey the question is do you really want to marry joey,3.0
you still haven't told rachel you weren't really proposing,4,0901,09,0,40590,no no i don't could you be a dear and go tell him,1.0
no she had the ring on she seemed so excited and then she took her breast out,5,0901,09,0,40591,you still haven't told rachel you weren't really proposing,4.0
joey you have to tell her what's going on and what did it look like,4,0901,09,0,40592,no she had the ring on she seemed so excited and then she took her breast out,5.0
i didn't look at it stupid baby's head was blocking most of it,5,0901,09,0,40593,joey you have to tell her what's going on and what did it look like,4.0
go and tell rachel right now before ross finds out,4,0901,09,0,40594,i didn't look at it stupid baby's head was blocking most of it,5.0
look it's not that easy she said she wanted to marry me i don't want to hurt her,5,0901,09,0,40595,go and tell rachel right now before ross finds out,4.0
okay look just do it gently,4,0901,09,0,40596,look it's not that easy she said she wanted to marry me i don't want to hurt her,5.0
you're right you're right i i'll go tell her now before ross finds out and i'll be gentle i can do that i am a gentle person oh by the way two people screwing in there if you want to check that out,5,0901,09,0,40597,okay look just do it gently,4.0
listen i um i heard about the engagement,2,0901,09,2,40598,you're right you're right i i'll go tell her now before ross finds out and i'll be gentle i can do that i am a gentle person oh by the way two people screwing in there if you want to check that out,5.0
surprised,1,0901,09,2,40599,listen i um i heard about the engagement,2.0
and confused rach sweetie i i um i didn't propose to you,2,0901,09,2,40600,surprised,1.0
you didn't propose to me joey did,1,0901,09,2,40602,i don't think you do,2.0
poor baby you're so tired rach i didn't propose to you joey didn't propose to you and chandler didn't propose to you,2,0901,09,2,40603,you didn't propose to me joey did,1.0
uh you didn't propose to me chandler didn't propose to me but joey did,1,0901,09,2,40604,poor baby you're so tired rach i didn't propose to you joey didn't propose to you and chandler didn't propose to you,2.0
joey proposed to you,2,0901,09,2,40605,uh you didn't propose to me chandler didn't propose to me but joey did,1.0
i can come back,5,0901,09,2,40606,joey proposed to you,2.0
hey wait wait wait wait joey did you propose to her,2,0901,09,2,40607,i can come back,5.0
no,5,0901,09,2,40608,hey wait wait wait wait joey did you propose to her,2.0
well then why did you give me a ring,1,0901,09,2,40610,actually technically i didn't,5.0
wait whoa whoa you you gave her the ring,2,0901,09,2,40611,well then why did you give me a ring,1.0
no no and i did not ask her to marry me,5,0901,09,2,40612,wait whoa whoa you you gave her the ring,2.0
yes you did and don't you say no i didn't,1,0901,09,2,40615,no i didn't,5.0
ahhh,5,0901,09,2,40616,yes you did and don't you say no i didn't,1.0
he was right there he got down on one knee and proposed,1,0901,09,2,40617,ahhh,5.0
whoa you were down on one knee,2,0901,09,2,40618,he was right there he got down on one knee and proposed,1.0
yeah yeah that looks bad but i didn't i didn't propose,5,0901,09,2,40619,whoa you were down on one knee,2.0
then what did happen,2,0901,09,2,40620,yeah yeah that looks bad but i didn't i didn't propose,5.0
okay the ring fell on the floor and i went down to pick it up and you thought i was proposing,5,0901,09,2,40621,then what did happen,2.0
yeah but you said will you marry me,1,0901,09,2,40622,okay the ring fell on the floor and i went down to pick it up and you thought i was proposing,5.0
no i didn't,5,0901,09,2,40623,yeah but you said will you marry me,1.0
yes you did oh my god you didn't well then why didn't you tell me that before,1,0901,09,2,40625,no i didn't,5.0
well i tried but people kept coming in and then you took your breast out,5,0901,09,2,40626,yes you did oh my god you didn't well then why didn't you tell me that before,1.0
whoa hey whoa whoa whoa you saw her breast,2,0901,09,2,40627,well i tried but people kept coming in and then you took your breast out,5.0
i'll tell you about it later be cool,5,0901,09,2,40628,whoa hey whoa whoa whoa you saw her breast,2.0
well then joey what the hell were you doing with an engagement ring,1,0901,09,2,40629,i'll tell you about it later be cool,5.0
it wasn't my ring it's ross's ring that's why i felt so bad rach because he was going to propose,5,0901,09,2,40630,well then joey what the hell were you doing with an engagement ring,1.0
what,2,0901,09,2,40631,it wasn't my ring it's ross's ring that's why i felt so bad rach because he was going to propose,5.0
you were gonna propose to me,1,0901,09,2,40632,what,2.0
uhh no,2,0901,09,2,40633,you were gonna propose to me,1.0
well this is awkward {see i told you so },5,0901,09,2,40634,uhh no,2.0
but i i was going to see if y'know maybe you uh start dating again but that i mean that that was all rach,2,0901,09,2,40635,well this is awkward {see i told you so },5.0
dude step up i proposed,5,0901,09,2,40636,but i i was going to see if y'know maybe you uh start dating again but that i mean that that was all rach,2.0
no you didn't,2,0901,09,2,40637,dude step up i proposed,5.0
oh that's right there's a lot going on here and i think i ate some bad fruit earlier,5,0901,09,2,40638,no you didn't,2.0
hey she just woke up she's hungry why don't we give this another try,0,0901,09,2,40639,oh that's right there's a lot going on here and i think i ate some bad fruit earlier,5.0
i can't believe you told her i was going to propose,2,0901,09,2,40640,hey she just woke up she's hungry why don't we give this another try,0.0
i can't believe you're not going to propose,5,0901,09,2,40641,i can't believe you told her i was going to propose,2.0
hey i'm not going to rush into anything,2,0901,09,2,40642,i can't believe you're not going to propose,5.0
oh yeah dude i totally understand usually after i have a baby with a woman i like to slow things down,5,0901,09,2,40643,hey i'm not going to rush into anything,2.0
what,2,0901,09,2,40644,oh yeah dude i totally understand usually after i have a baby with a woman i like to slow things down,5.0
she's doing it look she's breast feeding look,1,0901,09,2,40645,what,2.0
ah it's beautiful,5,0901,09,2,40646,she's doing it look she's breast feeding look,1.0
i'll come back for her later,0,0901,09,2,40647,ah it's beautiful,5.0
oh wow this feels weird,1,0901,09,2,40648,i'll come back for her later,0.0
y'know what you guys i'm uh i'm gonna go too and uh i'm sorry about everything,5,0901,09,2,40650,wonderful weird,1.0
honey don't worry it was my mistake,1,0901,09,2,40651,y'know what you guys i'm uh i'm gonna go too and uh i'm sorry about everything,5.0
no rach i should've told you sooner it's just that man that kid is going to town,5,0901,09,2,40652,honey don't worry it was my mistake,1.0
she's perfect,1,0901,09,2,40653,no rach i should've told you sooner it's just that man that kid is going to town,5.0
we're so lucky,2,0901,09,2,40654,she's perfect,1.0
i know i know i've feeling,1,0901,09,2,40656,look i i know it's not a proposal and i don't know where you are but with everything that's been going on and with emma and i've been feeling,2.0
okay well that wow okay well umm then maybe at least we can we can talk about us again,2,0901,09,2,40657,i know i know i've feeling,1.0
wh what's that,1,0901,09,2,40659,well good okay i i kind of think y'know if we if you're wearing the ring,2.0
and you told phoebe you were engaged,2,0901,09,2,40660,wh what's that,1.0
kids i spoke to a doctor and picked up this pamphlets on how to get pregnant,0,0901,09,0,40662,when you thought joey proposed did did you say yes closing credits,2.0
you said you'd marry joey,2,0902,09,0,40664,,
okay you have to realize i was exhausted i was emotional i would have said yes to anybody like that time you and i got married i'm not helping,1,0902,09,0,40665,you said you'd marry joey,2.0
so you said yes to him and you just had our baby,2,0902,09,0,40666,okay you have to realize i was exhausted i was emotional i would have said yes to anybody like that time you and i got married i'm not helping,1.0
that is right and traditionally the daddy is supposed to give the mummy a present but i am prepared to let that go,1,0902,09,0,40667,so you said yes to him and you just had our baby,2.0
so when i came in here to see if you wanted to maybe start things up again you were engaged to my best friend,2,0902,09,0,40668,that is right and traditionally the daddy is supposed to give the mummy a present but i am prepared to let that go,1.0
well really i thought chandler was your best friend,1,0902,09,0,40669,so when i came in here to see if you wanted to maybe start things up again you were engaged to my best friend,2.0
well chandler's my oldest friend but joey's my no ah,2,0902,09,0,40670,well really i thought chandler was your best friend,1.0
ooooo,1,0902,09,0,40671,well chandler's my oldest friend but joey's my no ah,2.0
hey you guys i'm gonna take off i just wanted to let you guys know say goodbye,5,0902,09,0,40672,ooooo,1.0
rachel said she'd marry you,2,0902,09,0,40673,hey you guys i'm gonna take off i just wanted to let you guys know say goodbye,5.0
this isn't the right room sorry folks opening credits it's a boy ],5,0902,09,0,40674,rachel said she'd marry you,2.0
ok i don't wanna be negative so i'll say that most of the signs you bought are good,3,0902,09,4,40675,this isn't the right room sorry folks opening credits it's a boy ],5.0
no they ran out of it's a girl but i can fix this one see,6,0902,09,4,40676,ok i don't wanna be negative so i'll say that most of the signs you bought are good,3.0
so sexy honey,3,0902,09,4,40677,no they ran out of it's a girl but i can fix this one see,6.0
yea yea,4,0902,09,4,40678,so sexy honey,3.0
honey why don't you go lie down,3,0902,09,4,40679,yea yea,4.0
no no ross and rachel will be back soon and then i gotta go to the office am i producing them,4,0902,09,4,40680,honey why don't you go lie down,3.0
why're you so tired,5,0902,09,4,40681,no no ross and rachel will be back soon and then i gotta go to the office am i producing them,4.0
phoebe did the signs,3,0902,09,4,40683,you know what you should've done you should have told yourself that little story,5.0
oh you guys thanks for doing this,1,0902,09,4,40684,phoebe did the signs,3.0
look at all the stuff people sent,6,0902,09,4,40685,oh you guys thanks for doing this,1.0
oh ah oh my gosh there's something every mother needs a giant stuffed gorilla that takes up the entire apartment what are people think oh you guys i love it,1,0902,09,4,40686,look at all the stuff people sent,6.0
is he still mad at us,5,0902,09,4,40688,he's downstairs getting the rest of the stuff out of the cab,1.0
well you more then me but he can't stay to mad at me i mean i just had his baby,1,0902,09,4,40689,is he still mad at us,5.0
that's not fair i can't do that,5,0902,09,4,40690,well you more then me but he can't stay to mad at me i mean i just had his baby,1.0
yeah i'm not so sure you should be here when he comes up,1,0902,09,4,40691,that's not fair i can't do that,5.0
see this is what i was afraid of i didn't think i should be here either but somebody said he'd be over it by now,5,0902,09,4,40692,yeah i'm not so sure you should be here when he comes up,1.0
hey what do i know i wanted to get a bigger gorilla,4,0902,09,4,40693,see this is what i was afraid of i didn't think i should be here either but somebody said he'd be over it by now,5.0
the numbers we are seeing new york chicago and london are consistently solid but many of our officers have reported disappointing fields,0,0902,09,0,40694,hey what do i know i wanted to get a bigger gorilla,4.0
walter,4,0902,09,0,40696,boston is down atlanta is down houston is down i could go on and on but instead of boring you i'll go straight to my forty two point plan,0.0
she's just so cute i just wanna bite her ear off and use it and a sucking candy,6,0902,09,4,40697,walter,4.0
phoebe but i could take one of those little feet and put it in a pita pocket,3,0902,09,4,40698,she's just so cute i just wanna bite her ear off and use it and a sucking candy,6.0
okay i put most of the stuff away,2,0902,09,4,40699,phoebe but i could take one of those little feet and put it in a pita pocket,3.0
the burping clogs,1,0902,09,4,40701,in the closet,2.0
linen closet,2,0902,09,4,40702,the burping clogs,1.0
the diapers,1,0902,09,4,40703,linen closet,2.0
in the hospital,2,0902,09,4,40704,the diapers,1.0
wow you guys got a hospital fancy,6,0902,09,4,40705,in the hospital,2.0
no i left the diapers at the hospital there's some in the bag but i'll run out and get some more,2,0902,09,4,40706,wow you guys got a hospital fancy,6.0
alright thanks oh ross could you stop by the coffee house and get me a muffin,1,0902,09,4,40707,no i left the diapers at the hospital there's some in the bag but i'll run out and get some more,2.0
please take your time it's an important decision not like say i know deciding to marry someone this is about a muffin,2,0902,09,4,40709,umm let me think what do i want what d o i w a n t,1.0
blueberry,1,0902,09,4,40710,please take your time it's an important decision not like say i know deciding to marry someone this is about a muffin,2.0
blueberry it is,2,0902,09,4,40711,blueberry,1.0
wow he's really not letting this go is he,3,0902,09,4,40712,blueberry it is,2.0
god how long do you think that's gonna last,1,0902,09,4,40713,wow he's really not letting this go is he,3.0
i dunno well he got over the we were on a break thing really quickly,6,0902,09,4,40714,god how long do you think that's gonna last,1.0
y'know i can't even worry about that right now cause i got the cutie little baby oh i can't believe how much i love her i can't get enough of her like right now i miss her i actually miss her,1,0902,09,4,40715,i dunno well he got over the we were on a break thing really quickly,6.0
you know that's that's her,6,0902,09,4,40716,y'know i can't even worry about that right now cause i got the cutie little baby oh i can't believe how much i love her i can't get enough of her like right now i miss her i actually miss her,1.0
oh god look at her sleeping oh i love her so much oh i think i'm gonna wake her up,1,0902,09,4,40717,you know that's that's her,6.0
oh no rach no no you know you're never supposed to wake a sleeping baby,6,0902,09,4,40718,oh god look at her sleeping oh i love her so much oh i think i'm gonna wake her up,1.0
well i can do whatever i want i made her come on little girl hi,1,0902,09,4,40719,oh no rach no no you know you're never supposed to wake a sleeping baby,6.0
i can say i told you so but she's kinda doing that for me,6,0902,09,4,40720,well i can do whatever i want i made her come on little girl hi,1.0
oh i'm sorry mummy's so sorry go back to sleep go back to sleep shh shhh go back to sleep,1,0902,09,4,40721,i can say i told you so but she's kinda doing that for me,6.0
breaks your heart doesn't it,3,0902,09,4,40722,oh i'm sorry mummy's so sorry go back to sleep go back to sleep shh shhh go back to sleep,1.0
it really does how long do you think we have to stay,6,0902,09,4,40723,breaks your heart doesn't it,3.0
